expiration,strike,option_type,mid_price,delta_k,strike_cont,settlement
1/17/2020,1370,Put,0.2,5,0.00000053280000,standard
1/17/2020,1375,Put,0.125,5,0.00000033060000,standard
1/17/2020,1380,Put,0.15,5,0.00000039380000,standard
1/17/2020,1385,Put,0.225,5,0.00000058650000,standard
1/17/2020,1390,Put,0.225,5,0.00000058230000,standard
1/17/2020,1395,Put,0.125,5,0.00000032120000,standard
1/17/2020,1400,Put,0.125,7.5,0.00000047830000,standard
1/17/2020,1410,Put,0.225,10,0.00000113180000,standard
1/17/2020,1420,Put,0.225,7.5,0.00000083690000,standard
1/17/2020,1425,Put,0.175,5,0.00000043090000,standard
1/17/2020,1430,Put,0.225,5,0.00000055020000,standard
1/17/2020,1435,Put,0.275,5,0.00000066770000,standard
1/17/2020,1440,Put,0.175,5,0.00000042200000,standard
1/17/2020,1445,Put,0.225,5,0.00000053880000,standard
1/17/2020,1450,Put,0.2,5,0.00000047560000,standard
1/17/2020,1455,Put,0.25,5,0.00000059050000,standard
1/17/2020,1460,Put,0.25,5,0.00000058640000,standard
1/17/2020,1465,Put,0.25,5,0.00000058240000,standard
1/17/2020,1470,Put,0.25,5,0.00000057850000,standard
1/17/2020,1475,Put,0.2,5,0.00000045960000,standard
1/17/2020,1480,Put,0.25,5,0.00000057070000,standard
1/17/2020,1485,Put,0.35,5,0.00000079360000,standard
1/17/2020,1490,Put,0.175,5,0.00000039410000,standard
1/17/2020,1495,Put,0.275,5,0.00000061520000,standard
1/17/2020,1500,Put,0.325,5,0.00000072220000,standard
1/17/2020,1505,Put,0.325,5,0.00000071740000,standard
1/17/2020,1510,Put,0.3,5,0.00000065790000,standard
1/17/2020,1515,Put,0.3,5,0.00000065350000,standard
1/17/2020,1520,Put,0.35,5,0.00000075750000,standard
1/17/2020,1525,Put,0.35,5,0.00000075250000,standard
1/17/2020,1530,Put,0.325,5,0.00000069420000,standard
1/17/2020,1535,Put,0.375,5,0.00000079580000,standard
1/17/2020,1540,Put,0.375,5,0.00000079060000,standard
1/17/2020,1545,Put,0.375,5,0.00000078550000,standard
1/17/2020,1550,Put,0.5,5,0.00000104060000,standard
1/17/2020,1555,Put,0.425,5,0.00000087880000,standard
1/17/2020,1560,Put,0.425,5,0.00000087320000,standard
1/17/2020,1565,Put,0.425,5,0.00000086760000,standard
1/17/2020,1570,Put,0.475,5,0.00000096350000,standard
